Segment,MAE,RMSE,Future_Month_1,Future_Month_2,Future_Month_3
Total,20088.102361234385,20868.737438318865,52929.032424278106,35122.08844940274,71212.84272806611
Furniture,5464.226409338451,5774.188746596172,9938.81333064307,9001.9484567632,14545.225273264168
Technology,12142.599502320874,13292.7657227144,20836.735886456343,13806.25562018907,35322.232692942904
Office Supplies,4911.780429508598,4968.790374629153,19129.29669742156,12789.53731662675,21571.701639522373
West,3995.6726506429354,5251.80248023465,14448.577451050453,12893.059827669626,30064.989574362517
East,11776.416647396394,13099.573585500411,14463.33661156179,9410.600986795194,22893.01439671342
